filepath,label,region,latitude,longitude,source
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0015.jpg,Phragmites australis,Faro,37.02598,-7.99675,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0016.jpg,Phragmites australis,Porto,41.01883,-8.36006,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0017.jpg,Phragmites australis,Lisboa,38.39261,-9.05678,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0018.jpg,Phragmites australis,Faro,36.95284,-7.88115,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0019.jpg,Phragmites australis,Porto,41.17825,-8.62849,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0020.jpg,Phragmites australis,Lisboa,38.99607,-9.29687,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0021.jpg,Phragmites australis,Madeira,32.60601,-16.86418,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0022.jpg,Phragmites australis,Lisboa,38.89383,-8.96948,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0023.jpg,Phragmites australis,Lisboa,38.60534,-9.48938,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0024.jpg,Phragmites australis,Faro,36.94329,-7.98821,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0025.jpg,Phragmites australis,Porto,40.9674,-8.45386,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0026.jpg,Phragmites australis,Setúbal,38.48104,-8.83708,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0027.jpg,Phragmites australis,Lisboa,38.77958,-8.96699,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0028.jpg,Phragmites australis,Lisboa,38.87854,-9.09082,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0029.jpg,Phragmites australis,Lisboa,38.38832,-9.34085,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0000.jpg,Cortaderia selloana,Lisboa,38.74998,-9.41474,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0001.jpg,Cortaderia selloana,Porto,41.2528,-8.73405,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0002.jpg,Cortaderia selloana,Lisboa,38.53542,-9.14345,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0003.jpg,Cortaderia selloana,Porto,40.95073,-8.4855,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0004.jpg,Cortaderia selloana,Porto,41.35683,-8.43298,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0005.jpg,Cortaderia selloana,Lisboa,38.88859,-9.0915,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0006.jpg,Cortaderia selloana,Porto,41.00086,-8.72781,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0007.jpg,Cortaderia selloana,Porto,41.21504,-8.45595,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0008.jpg,Cortaderia selloana,Lisboa,38.56699,-9.2312,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0009.jpg,Cortaderia selloana,Porto,41.07485,-8.3782,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0010.jpg,Cortaderia selloana,Lisboa,38.61209,-9.38218,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0011.jpg,Cortaderia selloana,Faro,37.06269,-7.86064,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0012.jpg,Cortaderia selloana,Lisboa,38.49369,-9.27385,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0013.jpg,Cortaderia selloana,Porto,40.90096,-8.61618,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0014.jpg,Cortaderia selloana,Setúbal,38.59275,-8.8762,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0015.jpg,Cortaderia selloana,Setúbal,38.52202,-8.86405,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0016.jpg,Cortaderia selloana,Porto,41.0074,-8.80209,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0017.jpg,Cortaderia selloana,Lisboa,38.7797,-8.81801,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0018.jpg,Cortaderia selloana,Lisboa,38.9258,-9.29027,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0019.jpg,Cortaderia selloana,Setúbal,38.51921,-8.94266,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0020.jpg,Cortaderia selloana,Faro,36.953,-7.88034,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0021.jpg,Cortaderia selloana,Braga,41.58736,-8.42196,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0022.jpg,Cortaderia selloana,Lisboa,38.96193,-9.14268,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0023.jpg,Cortaderia selloana,Setúbal,38.48503,-8.95301,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0024.jpg,Cortaderia selloana,Faro,37.06688,-7.96114,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0025.jpg,Cortaderia selloana,Lisboa,38.73712,-9.37341,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0026.jpg,Cortaderia selloana,Lisboa,38.73961,-8.95117,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0027.jpg,Cortaderia selloana,Lisboa,38.46196,-9.0901,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0028.jpg,Cortaderia selloana,Setúbal,38.51701,-8.95864,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Cortaderia_selloana\Cortaderia_selloana_0029.jpg,Cortaderia selloana,Lisboa,38.51363,-8.82195,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0000.jpg,Ammophila arenaria,Madeira,32.69892,-16.86777,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0001.jpg,Ammophila arenaria,Lisboa,39.04858,-8.82929,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0002.jpg,Ammophila arenaria,Porto,41.4214,-8.48882,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0003.jpg,Ammophila arenaria,Lisboa,39.04978,-8.85406,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0004.jpg,Ammophila arenaria,Setúbal,38.47736,-8.85671,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0005.jpg,Ammophila arenaria,Lisboa,38.97801,-8.90791,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0006.jpg,Ammophila arenaria,Lisboa,38.51616,-9.2916,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0007.jpg,Ammophila arenaria,Setúbal,38.48413,-8.83293,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0008.jpg,Ammophila arenaria,Braga,41.53597,-8.48031,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0009.jpg,Ammophila arenaria,Lisboa,38.68127,-9.04647,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0010.jpg,Ammophila arenaria,Lisboa,38.51951,-8.94279,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0011.jpg,Ammophila arenaria,Lisboa,38.9401,-9.28164,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0012.jpg,Ammophila arenaria,Porto,41.28792,-8.40628,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0013.jpg,Ammophila arenaria,Porto,41.1316,-8.64324,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0014.jpg,Ammophila arenaria,Faro,36.99525,-7.9726,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0015.jpg,Ammophila arenaria,Porto,41.23353,-8.37296,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0016.jpg,Ammophila arenaria,Faro,37.03612,-7.98498,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0017.jpg,Ammophila arenaria,Madeira,32.67506,-16.9241,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0018.jpg,Ammophila arenaria,Porto,40.9322,-8.79424,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0019.jpg,Ammophila arenaria,Lisboa,39.00727,-8.95428,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0020.jpg,Ammophila arenaria,Setúbal,38.57384,-8.96884,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0021.jpg,Ammophila arenaria,Porto,40.92504,-8.78434,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0022.jpg,Ammophila arenaria,Lisboa,38.40738,-9.36757,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0023.jpg,Ammophila arenaria,Faro,37.00334,-7.85107,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0024.jpg,Ammophila arenaria,Lisboa,38.66407,-9.35755,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0025.jpg,Ammophila arenaria,Faro,37.09193,-7.98617,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0026.jpg,Ammophila arenaria,Porto,41.3964,-8.48141,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0027.jpg,Ammophila arenaria,Lisboa,38.82502,-9.31997,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0028.jpg,Ammophila arenaria,Porto,41.37359,-8.53953,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Ammophila_arenaria\Ammophila_arenaria_0029.jpg,Ammophila arenaria,Faro,37.01902,-7.90167,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0000.jpg,Acacia dealbata,Lisboa,38.78384,-8.89538,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0001.jpg,Acacia dealbata,Lisboa,39.03595,-9.27443,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0002.jpg,Acacia dealbata,Faro,37.07976,-7.9647,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0003.jpg,Acacia dealbata,Lisboa,38.58454,-9.41254,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0004.jpg,Acacia dealbata,Faro,36.94116,-8.00579,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0005.jpg,Acacia dealbata,Lisboa,39.01141,-9.44946,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0006.jpg,Acacia dealbata,Faro,36.99716,-7.95103,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0007.jpg,Acacia dealbata,Madeira,32.60846,-16.94773,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0008.jpg,Acacia dealbata,Lisboa,38.9801,-9.06138,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0009.jpg,Acacia dealbata,Lisboa,38.57593,-9.33464,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0010.jpg,Acacia dealbata,Lisboa,38.87403,-9.33769,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0011.jpg,Acacia dealbata,Lisboa,38.95181,-9.09617,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0012.jpg,Acacia dealbata,Lisboa,38.51484,-8.82891,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0013.jpg,Acacia dealbata,Faro,37.06411,-7.96656,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0014.jpg,Acacia dealbata,Lisboa,38.60062,-9.08457,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0015.jpg,Acacia dealbata,Lisboa,38.87834,-9.40222,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0016.jpg,Acacia dealbata,Faro,37.00276,-7.87427,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0017.jpg,Acacia dealbata,Madeira,32.66638,-16.87082,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0018.jpg,Acacia dealbata,Porto,41.23584,-8.65422,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0019.jpg,Acacia dealbata,Lisboa,38.82447,-9.19503,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0020.jpg,Acacia dealbata,Setúbal,38.53987,-8.93615,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0021.jpg,Acacia dealbata,Porto,41.09308,-8.70113,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Acacia_dealbata\Acacia_dealbata_0022.jpg,Acacia dealbata,Porto,41.04765,-8.48112,synthetic
